Siren;Insee;Nom;Agrégat;Type de budget;Montant 2024;Montant par habitant 2024;Evolution 2023-2024 (en valeur);Evolution 2023-2024 (en %);% des dépenses de fonctionnement en 2024;% des recettes de fonctionnement en 2024;Evolution 2023-2024 (en euros par habitant);Montant cumulé 2019-2024;Montant cumulé 2019-2024 par habitant
219300290;93029;Drancy;Frais de personnel;Budget principal;66687769.38;931.1463;3934918.78;0.0627;0.61;0.5407;53.9135;362999427.57;5068.4794
219300704;93070;Saint-Ouen-sur-Seine;Frais de personnel;Budget principal;65876649.55;1235.4961;664709.77;0.0102;0.6118;0.5444;-26.9312;368791380.38;6916.5675
219300142;93014;Clichy-sous-Bois;Frais de personnel;Budget principal;30313203.75;1017.0168;1597748.77;0.0556;0.5323;0.4983;47.6861;166834918.56;5597.3602
219300159;93015;Coubron;Frais de personnel;Budget principal;3766050.69;737.4292;154029.3;0.0426;0.6337;0.5372;17.4727;20838775.3;4080.4338
219300480;93048;Montreuil;Frais de personnel;Budget principal;118192094.09;1055.0322;2339917.37;0.0202;0.6238;0.5537;20.2128;668981696.57;5971.6113
219300597;93059;Pierrefitte-sur-Seine;Frais de personnel;Budget principal;29715994.04;916.4249;1784622.95;0.0639;0.6702;0.6042;26.6924;163241483.16;5034.2775
219300621;93062;Le Raincy;Frais de personnel;Budget principal;6915650.21;459.0236;33241.54;0.0048;0.3504;0.3348;-1.3689;43008184.08;2854.6518
219300050;93005;Aulnay-sous-Bois;Frais de personnel;Budget principal;94396357.41;1091.0099;2200942.73;0.0239;0.5902;0.5501;29.7433;562223763.01;6498.044
219300068;93006;Bagnolet;Frais de personnel;Budget principal;45236020.36;1145.4187;313629.45;0.007;0.6635;0.5593;-19.2488;264279031.78;6691.7943
219300076;93007;Le Blanc-Mesnil;Frais de personnel;Budget principal;53009713.67;907.7628;907168.37;0.0174;0.6068;0.4878;11.2361;301901627.8;5169.9025
219300316;93031;Épinay-sur-Seine;Frais de personnel;Budget principal;39763407.72;741.3429;1057827.27;0.0273;0.5366;0.4592;32.0467;225986048.19;4213.2492
219300472;93047;Montfermeil;Frais de personnel;Budget principal;23826664.28;847.924;1167491.22;0.0515;0.6172;0.4889;42.7226;127168495.1;4525.5692
219300084;93008;Bobigny;Frais de personnel;Budget principal;71441528.22;1294.4416;-362241.47;-0.005;0.6582;0.5454;-9.5167;396039394.64;7175.7967
219300100;93010;Bondy;Frais de personnel;Budget principal;51139710.5;963.682;-1807765.99;-0.0341;0.6247;0.5272;-25.824;310015524.28;5841.9644
219300456;93045;Les Lilas;Frais de personnel;Budget principal;23915165.06;1013.827;379029.22;0.0161;0.6465;0.5711;7.8373;133490440.69;5659.0123
219300506;93050;Neuilly-sur-Marne;Frais de personnel;Budget principal;36607950.29;972.6069;2275758.01;0.0663;0.694;0.6124;35.5929;195448487.22;5192.712
219300712;93071;Sevran;Frais de personnel;Budget principal;52446312.21;1008.5441;2054963.86;0.0408;0.6089;0.5362;38.6777;289961649.77;5575.9711
219300274;93027;La Courneuve;Frais de personnel;Budget principal;49129269.54;1038.9154;738626.38;0.0153;0.6416;0.5813;8.2527;267146166.05;5649.2243
219300332;93033;Gournay-sur-Marne;Frais de personnel;Budget principal;6522257.72;939.2652;61130.36;0.0095;0.6452;0.5493;-0.3984;37394502.96;5385.1531
219300530;93053;Noisy-le-Sec;Frais de personnel;Budget principal;39542427.68;855.3598;736704.26;0.019;0.603;0.5178;-4.0105;217590971.42;4706.8068
219300639;93063;Romainville;Frais de personnel;Budget principal;28813712.77;864.1608;1598402.44;0.0587;0.502;0.4215;1.6612;145035980.77;4349.818
219300647;93064;Rosny-sous-Bois;Frais de personnel;Budget principal;43836851.79;955.9468;1904788.19;0.0454;0.5729;0.5113;36.8274;249990860.5;5451.5311
219300134;93013;Le Bourget;Frais de personnel;Budget principal;13698564.19;921.2215;-467315.98;-0.033;0.5248;0.5194;18.6487;80176569.27;5391.8338
219300308;93030;Dugny;Frais de personnel;Budget principal;14863789.4;1307.5114;906975.79;0.065;0.6738;0.5675;64.9176;81061807.85;7130.7009
219300399;93039;L'Île-Saint-Denis;Frais de personnel;Budget principal;8163405.55;940.1596;1248999.84;0.1806;0.5657;0.5332;142.1901;40561763.47;4671.3997
