num,date,détail prévu,exercice pts
TD1,29.01.26,Recherches de données,3
TD2,05.02.26,Géoréférencement,1
TD3,12.02.26,Traitements vectoriels,2
TD4,19.02.26,traitements rasters,1
TD5,26.02.26,MNS et MNT,1
TD6,12.03.26,Jointures attributaires et spatiales,2
TD7,19.03.26,Réseaux,
TD8,26.03.26,Markdown + structure projet ET objets dans R : vecteurs et dataframe,
TD9,02.04.26,intégrer des données spatiales : format gpkg,
TD10,09.04.26,oral de présentation des projets (5 mn par groupe) + Géotraitement,
TD11,07.05.26,Rendu de projet (aucun retard toléré) + révisions partiel,
