Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Nombre d'établissements 2024
01001;L'Abergement-Clémenciat;19
01002;L'Abergement-de-Varey;4
01004;Ambérieu-en-Bugey;592
01005;Ambérieux-en-Dombes;49
01006;Ambléon;1
01007;Ambronay;78
01008;Ambutrix;23
01009;Andert-et-Condon;5
01010;Anglefort;24
01011;Apremont;6
01012;Aranc;8
01013;Arandas;2
01014;Arbent;245
01015;Arboys en Bugey;13
01016;Arbigny;7
01017;Argis;14
01019;Armix;1
01021;Ars-sur-Formans;36
01022;Artemare;45
01023;Asnières-sur-Saône;4
01024;Attignat;83
01025;Bâgé-Dommartin;70
01026;Bâgé-le-Châtel;36
01027;Balan;64
01028;Baneins;14
01029;Beaupont;15
01030;Beauregard;17
01031;Bellignat;186
01032;Béligneux;105
01033;Valserhône;525
01034;Belley;405
01035;Belleydoux;6
01036;Valromey-sur-Séran;21
01037;Bénonces;6
01038;Bény;12
01040;Béréziat;8
01041;Bettant;9
01042;Bey;4
01043;Beynost;344
01044;Billiat;16
01045;Birieux;6
01046;Biziat;20
01047;Blyes;80
01049;La Boisse;110
01050;Boissey;6
01051;Bolozon;1
01052;Bouligneux;13
01053;Bourg-en-Bresse;2026
01054;Bourg-Saint-Christophe;25
01056;Boyeux-Saint-Jérôme;10
01057;Boz;16
01058;Brégnier-Cordon;26
01060;Brénod;19
01061;Brens;14
01062;Bressolles;21
01063;Brion;28
01064;Briord;26
01065;Buellas;28
01066;La Burbanche;3
01067;Ceignes;6
01068;Cerdon;15
01069;Certines;44
01071;Cessy;92
01072;Ceyzériat;138
01073;Ceyzérieu;21
01074;Chalamont;89
01075;Chaleins;60
01076;Chaley;2
01077;Challes-la-Montagne;3
01078;Challex;11
01079;Champagne-en-Valromey;39
01080;Champdor-Corcelles;14
01081;Champfromier;15
01082;Chanay;9
01083;Chaneins;37
01084;Chanoz-Châtenay;15
01085;La Chapelle-du-Châtelard;14
01087;Charix;5
01088;Charnoz-sur-Ain;37
01089;Château-Gaillard;115
01090;Châtenay;18
01092;Châtillon-la-Palud;25
01093;Châtillon-sur-Chalaronne;261
01094;Chavannes-sur-Reyssouze;12
01095;Nivigne et Suran;14
01096;Chaveyriat;25
